2023-08-06 10:38:04,824 - INFO - Adding directory info: FileInfo(name='cd', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:38:04,824 - INFO - Adding directory info: FileInfo(name='e5', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:38:04,824 - INFO - Adding directory info: FileInfo(name='fb', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:38:04,824 - INFO - Adding directory info: FileInfo(name='info', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:38:04,824 - INFO - Adding directory info: FileInfo(name='pack', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:38:04,825 - INFO - Adding file info: FileInfo(name='302c734db2fd911bcf079dcc09aa13015c92eb', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\27')
2023-08-06 10:38:04,825 - INFO - Adding file info: FileInfo(name='3332b3867f2deee463e5c9715926ea541be778', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\27')
2023-08-06 10:38:04,825 - INFO - Adding file info: FileInfo(name='b714d4f3a5f26f0a3450577d780ac7ffa1a112', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\30')
2023-08-06 10:38:04,826 - INFO - Adding file info: FileInfo(name='32bc222b403633347722344d213beef7d8a81e', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\42')
2023-08-06 10:38:04,826 - INFO - Adding file info: FileInfo(name='d846f995f049723fa0fc395a1bb763c5168df6', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\55')
2023-08-06 10:38:04,826 - INFO - Adding file info: FileInfo(name='715d9fa0604aca76cd6a2abff2deffc786d493', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\5e')
2023-08-06 10:38:04,826 - INFO - Adding file info: FileInfo(name='42b52aabb6756ceb518c27560dc75f4abe0fde', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\6a')
2023-08-06 10:38:04,827 - INFO - Adding file info: FileInfo(name='0c986702d0be441a6c6e98ac32f06a4f541ed2', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\71')
2023-08-06 10:38:04,827 - INFO - Adding file info: FileInfo(name='9fba61501b034ed860f8e44b33501ebfd09402', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\7d')
2023-08-06 10:38:04,827 - INFO - Adding file info: FileInfo(name='fd61b3260c0da0c5d1d865b2188eec83ce94ba', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\86')
2023-08-06 10:38:04,827 - INFO - Adding file info: FileInfo(name='1afa29a871c16bda3ae9af0290027303313467', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\8d')
2023-08-06 10:38:04,827 - INFO - Adding file info: FileInfo(name='249caacef2c0c77fad46f74104a7f212b1bfbd', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\8d')
2023-08-06 10:38:04,828 - INFO - Adding file info: FileInfo(name='b934caf8afc2f0f2e172db062c1238a220cc5c', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\95')
